name|bio|faculty_of
SADIA SINDHU|"SADIA SINDHU IS THE EXECUTIVE DIRECTOR OF THE CENTER FOR EFFECTIVE GOVERNMENT. SHE HAS SERVED IN A VARIETY OF STRATEGIC ROLES IN THE PUBLIC AND PRIVATE SECTORS. MOST RECENTLY, SADIA WAS THE DIRECTOR OF THE UCHICAGO CIVIC LEADERSHIP ACADEMY. IN THIS ROLE, SHE SERVED AS THE LEAD STRATEGIST ON ALL MATTERS RELATED TO THE EXECUTION, ENHANCEMENT, AND GROWTH OF THE CIVIC LEADERSHIP ACADEMY AT HARRIS AND ACROSS THE UNIVERSITY. SADIA IS A FELLOW OF THE SECOND CLASS OF THE CIVIL SOCIETY FELLOWSHIP, A PARTNERSHIP OF ADL AND THE ASPEN INSTITUTE, AND A MEMBER OF THE ASPEN GLOBAL LEADERSHIP NETWORK.
 
SADIA HAS ALSO WORKED AT ROTHSCHILD GLOBAL ADVISORY, THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS, AND HUMAN CAPITAL RESEARCH CORPORATION. SHE HOLDS AN MS IN HIGHER EDUCATION POLICY FROM NORTHWESTERN UNIVERSITY AND A BSFS IN INTERNATIONAL POLITICS FROM GEORGETOWN UNIVERSITY."|HARRIS SCHOOL OF PUBLIC POLICY
SAMANTHA GEHM|SAMANTHA GEHM IS THE HUMAN RESOURCES SPECIALIST AT THE HARRIS SCHOOL OF PUBLIC POLICY. HER MAIN FOCUS IS HIRING ALL OF THE STUDENT AND TEMPORARY WORKERS AT HARRIS WHO ARE NOT IN ACADEMIC POSITIONS. ADDITIONALLY, SAM WORKS IN CONJUNCTION WITH HER TEAM TO PROVIDE TRAININGS AND ORIENTATION TO STAFF MEMBERS, HOST EVENTS AND GATHERINGS TO INCREASE EMPLOYEE ENGAGEMENT EFFORTS, AND RECRUIT/ONBOARD NEW TALENT FOR HARRIS. SHE GRADUATED FROM MICHIGAN STATE UNIVERSITY IN 2019 WHERE SHE OBTAINED A MAJOR IN PSYCHOLOGY AND A MINOR IN LEADERSHIP OF ORGANIZATIONS. THESE TWO PROGRAMS OF STUDY ALLOWED HER TO GAIN KNOWLEDGE REGARDING HR PRINCIPLES/THEORIES, LEADERSHIP, AND TEAMWORK. SAM BEGAN HER PROFESSIONAL CAREER WORKING AS A STUDENT ASSISTANT FOR THE COMMUNICATIVE SCIENCES AND DISORDERS DEPARTMENT AT MSU WHERE SHE PRIMARILY WORKED WITH ADMINISTRATIVE PROFESSIONALS AND FACULTY MEMBERS TO SUCCESSFULLY EXECUTE MANY DEPARTMENTAL EVENTS AND OTHER ACADEMIC PROCESSES. AFTER GRADUATION, SHE STARTED A POSITION WITH MAXIM HEALTHCARE SERVICES AS A FIELD SUPPORT ASSOCIATE WHERE SHE MAINLY CONDUCTED ONBOARDING AND PAYROLL FOR CAREGIVERS. LASTLY, SHE WAS HIRED INTO THE UNIVERSITY UNDER THE SHARED SERVICES OFFICE AS AN HR STUDENT EMPLOYMENT SPECIALIST WHICH DEVELOPED AN IN-DEPTH KNOWLEDGE OF WORKDAY, THE UNIVERSITY'S HRIS.|HARRIS SCHOOL OF PUBLIC POLICY
SAMANTHA JOHNSON|SAM WRITES AND EDITS RECRUITMENT MARKETING COMMUNICATIONS INCLUDING BLOG POSTS, STUDENT PROFILES, EMAILS, EVENT DESCRIPTIONS AND WEBSITE UPDATES. ONE OF HER MAIN GOALS AS A WRITER IS TO BRING OUT THE STUDENT VOICE IN UNIVERSITY COMMUNICATIONS. TO BETTER UNDERSTAND POLICY WRITING AND THE STUDENT PERSPECTIVE, SHE RECENTLY COMPLETED THE WRITING PERSUASIVE PUBLIC POLICY CREDENTIAL PROGRAM AT HARRIS.  PRIOR TO JOINING HARRIS, SAM WORKED AS A COPYWRITER IN BOTH ADVANCEMENT AND MARKETING AT GOVERNORS STATE UNIVERSITY (GSU), WHERE SHE EARNED HER BACHELOR'S AND MASTER'S DEGREES IN ENGLISH LANGUAGE & LITERATURE. DURING HER GRADUATE AND UNDERGRADUATE CAREER, SAM WORKED AS A WRITING FELLOW AND RESEARCH ASSISTANT FOR GOVERNORS STATE UNIVERSITY- UI CANCER CENTER DISPARITY EDUCATION (GUIDE) PROJECT, WHERE SHE SAW THE REAL-WORLD IMPACT WRITING CAN MAKE. SHE IS GLAD TO CONTINUE MAKING A DIFFERENCE THROUGH WRITING AT HARRIS, WHERE STUDENTS ARE THINKING THROUGH EVIDENCE-BASED SOLUTIONS TO THE WORLD'S MOST PRESSING PROBLEMS.|HARRIS SCHOOL OF PUBLIC POLICY
SAMMI WILLIAMS|SAMMI WILLIAMS IS A PROGRAM ASSOCIATE FOR THE CENTER FOR EFFECTIVE GOVERNMENT (CEG). HER ROLE AT THE CEG ENTAILS SUPPORTING THE OFFICE'S ADMINISTRATIVE EFFORTS, EXECUTING EVENTS, AND ASSISTING WITH THE DIRECTORS’ PROJECT RESEARCH AND IMPLEMENTATION. PRIOR TO JOINING THE CENTER FOR EFFECTIVE GOVERNMENT, SAMMI WORKED IN SEVERAL ROLES WITHIN MICHIGAN STATE UNIVERSITY’S CAREER SERVICES NETWORK (MSUCSN) WHILE COMPLETING HER UNDERGRADUATE EDUCATION. AS THE PILOT INTERN FOR MARKETING AND DIVERSITY COMMUNICATIONS FOR THE EMPLOYER RELATIONS TEAM, SHE LED THE CREATION OF EMPLOYER RESOURCE GUIDES AIMED AT PROMOTING POSITIVE, CONTINUOUS DIVERSITY, EQUITY, AND INCLUSION PRACTICES IN THE WORKPLACE. HER OTHER DUTIES INCLUDED SUPERVISORY TASKS FOR THE STUDENT TEAM, SOCIAL MEDIA CONTENT CREATION, AND CLERICAL SUPPORT. DURING HER UNDERGRADUATE STUDIES, HER RESEARCH INTERESTS FOCUSED ON HEALTHCARE REFORM, REPRODUCTIVE JUSTICE, AND A UNIVERSITY’S ROLE IN CAMPUS SAFETY AND HIGHER EDUCATION REFORM. ORIGINALLY FROM ST. LOUIS, SAMMI HOLDS A BA IN SOCIAL RELATIONS AND POLICY FROM MSU’S PUBLIC POLICY RESIDENTIAL COLLEGE, JAMES MADISON COLLEGE.|HARRIS SCHOOL OF PUBLIC POLICY
SANAM KAZI|SANAM KAZI SERVES AS AN ASSOCIATE DIRECTOR OF CAREER AND LEADERSHIP READINESS AT HARRIS. SHE STRATEGICALLY SUPPORTS HARRIS STUDENTS AND ALUMNI BY OFFERING PERSONALIZED CAREER COACHING, STAYING UP TO DATE ABOUT INDUSTRY TRENDS, AND PROVIDING TAILORED RESOURCES. SANAM BEGAN HER CAREER IN THE CREDIT UNION INDUSTRY, DRAWN IN BY THE CORE TENET OF PEOPLE HELPING PEOPLE. AFTER RETURNING TO SCHOOL TO EARN HER BACHELOR’S DEGREE, SHE JOINED THE UNIVERSITY OF CHICAGO LAW SCHOOL AS AN ADMINISTRATOR FOR THE OFFICE OF EXTERNAL AFFAIRS. THERE, SHE BECAME AN ACTIVE MEMBER OF THE DIVERSITY, EQUITY, AND INCLUSION COUNCIL FOR ALUMNI RELATIONS AND DEVELOPMENT. MOST RECENTLY, SHE HAS BEEN WORKING ON LARGE-SCALE REFORM EFFORTS AS A PROJECT STRATEGY MANAGER FOR THE CHICAGO POLICE DEPARTMENT. SANAM IS A PROUD GRADUATE OF THE UNIVERSITY OF ILLINOIS AT CHICAGO WHERE SHE STUDIED SOCIOLOGY AND ENGLISH WITH A CONCENTRATION ON AMERICAN LITERATURE. SHE IS CURRENTLY IN THE HARRIS EVENING MASTER’S PROGRAM TO EARN HER MA IN PUBLIC POLICY.|HARRIS SCHOOL OF PUBLIC POLICY
SARAH JANE CHRYSLER|SARAH JANE CHRYSLER SERVES AS THE ASSISTANT DIRECTOR OF EVENTS AT THE HARRIS SCHOOL OF PUBLIC POLICY. IN THIS ROLE, SHE COLLABORATES ON AND CONTRIBUTES TO THE EXECUTION OF SIGNATURE AND BRANDED EVENTS. ADDITIONALLY, SHE BUILDS AND MAINTAINS RELATIONSHIPS WITH BOTH INTERNAL AND EXTERNAL PARTNERS. GROWING UP IN THE MUSIC INDUSTRY, SARAH JANE ALWAYS KNEW SHE WANTED TO PURSUE A CAREER RELATED TO LIVE EVENTS. AFTER AN INTERNSHIP AT THE LYRIC OPERA CHICAGO IN 2020, HER PASSION FOR EVENTS AND ATTENDEE EXPERIENCES WAS FURTHER SOLIDIFIED. PRIOR TO JOINING HARRIS, SARAH JANE WORKED AT THE UNIVERSITY OF CHICAGO LABORATORY SCHOOLS IN THE ALUMNI RELATIONS AND DEVELOPMENT DEPARTMENT AS A DEVELOPMENT ASSOCIATE OF SPECIAL EVENTS AND STEWARDSHIP. THERE, SHE PLANNED AND EXECUTED CONNECTIONS, THE LAB’S BIENNIAL FUNDRAISING GALA CONNECTIONS. SARAH JANE HOLDS A B.A. FROM LOYOLA UNIVERSITY CHICAGO IN COMMUNICATION STUDIES WITH A MINOR IN NONPROFIT MANAGEMENT.|HARRIS SCHOOL OF PUBLIC POLICY
SCOTT ASHWORTH|SCOTT ASHWORTH IS A PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HIS RESEARCH USES GAME-THEORETIC MODELS TO STUDY A VARIETY OF ISSUES IN POLITICAL SCIENCE, WITH A SPECIAL EMPHASIS ON CAMPAIGNS AND ELECTIONS. ASHWORTH'S RECENT RESEARCH HAS EXAMINED THE WELFARE ECONOMICS OF CAMPAIGN FINANCE, THE SOURCES OF THE INCUMBENCY ADVANTAGE, THE MEDIA'S INFLUENCE ON POLICY CHOICE, AND SOME METHODOLOGICAL PITFALLS IN THE STUDY OF SUICIDE TERRORISM. HIS CURRENT RESEARCH CONTINUES TO USE IDEAS FROM CONTRACT THEORY TO EXPLORE FOUNDATIONAL AND APPLIED QUESTIONS IN THE THEORY OF POLITICAL ACCOUNTABILITY. BEFORE JOINING HARRIS, ASHWORTH WAS AN ASSISTANT PROFESSOR IN THE DEPARTMENT OF GOVERNMENT AT HARVARD UNIVERSITY AND IN THE DEPARTMENT OF POLITICS AT PRINCETON UNIVERSITY. ASHWORTH RECEIVED HIS BS IN ECONOMICS FROM THE UNIVERSITY OF PENNSYLVANIA AND HIS PHD IN ECONOMICS FROM THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY.|HARRIS SCHOOL OF PUBLIC POLICY
SCOTT GEHLBACH|SCOTT GEHLBACH IS THE ELISE AND JACK LIPSEY PROFESSOR IN THE DEPARTMENT OF POLITICAL SCIENCE, THE HARRIS SCHOOL OF PUBLIC POLICY, AND THE COLLEGE AT THE UNIVERSITY OF CHICAGO. A SCHOLAR OF AUTHORITARIAN AND POST-AUTHORITARIAN REGIMES, MUCH OF GEHLBACH’S RESEARCH IS MOTIVATED BY THE CONTEMPORARY AND HISTORICAL EXPERIENCE OF RUSSIA AND UKRAINE. HIS EARLY WORK FOCUSED ON THE POSTCOMMUNIST TRANSITION IN THESE AND NEIGHBORING COUNTRIES—A PERIOD OF ENORMOUS POLITICAL AND ECONOMIC CHANGE THAT EXPOSED THE CENTRALITY OF INSTITUTIONS AND THE OFTEN DIVERGENT EFFECTS OF SIMILAR REFORMS. MORE RECENTLY, GEHLBACH HAS EXAMINED THE RELATIONSHIP BETWEEN REFORM AND REBELLION IN AUTOCRACIES, WITH AN EMPIRICAL FOCUS ON LATE IMPERIAL RUSSIA, AND THE IMPACT OF POLITICAL CONNECTIONS ON ECONOMIC OUTCOMES USING LARGE FIRM-LEVEL DATASETS FROM UKRAINE. AN EARLY AND LEADING PRACTITIONER OF THE USE OF GAME THEORY TO MODEL THE INSTITUTIONS OF AUTHORITARIAN REGIMES, GEHLBACH IS AUTHOR OF THE WIDELY USED TEXTBOOK FORMAL MODELS OF DOMESTIC POLITICS, NOW IN ITS SECOND EDITION. PRIOR TO COMING TO CHICAGO, GEHLBACH WAS FOR SIXTEEN YEARS A FACULTY MEMBER AT THE UNIVERSITY OF WISCONSIN–MADISON. HE HAS AT VARIOUS TIMES BEEN AFFILIATED WITH BOTH THE NEW ECONOMIC SCHOOL—TWICE AS A FULBRIGHT-HAYS FELLOW—AND THE HIGHER SCHOOL OF ECONOMICS IN MOSCOW. AMONG OTHER SERVICE TO THE DISCIPLINE, HE IS CURRENTLY FIRST VICE PRESIDENT OF THE SOCIETY FOR INSTITUTIONAL AND ORGANIZATIONAL ECONOMICS, ASSOCIATE EDITOR OF THE QUARTERLY JOURNAL OF POLITICAL SCIENCE, AND ORGANIZER OF THE ANNUAL SUMMER WORKSHOP IN THE ECONOMIC HISTORY AND HISTORICAL POLITICAL ECONOMY OF EURASIA. AT THE UNIVERSITY OF CHICAGO, GEHLBACH CO-LED THE PROCESS TO CREATE A NEW PH.D. PROGRAM IN POLITICAL ECONOMY, A JOINT OFFERING OF THE DEPARTMENT OF POLITICAL SCIENCE AND THE HARRIS SCHOOL OF PUBLIC POLICY; HE NOW LEADS THE PROGRAM AS ITS DIRECTOR. YOU CAN DOWNLOAD SCOTT GEHLBACH’S CV HERE.|HARRIS SCHOOL OF PUBLIC POLICY
SEAN DURKIN|SEAN DURKIN IS A VICE PRESIDENT IN THE ANTITRUST & COMPETITION ECONOMICS PRACTICE OF CHARLES RIVER ASSOCIATES. HE SPECIALIZES IN ANTITRUST ECONOMICS, DAMAGE ANALYSIS, ECONOMETRICS, MICROECONOMICS, AND INTERNATIONAL ECONOMICS. DR. DURKIN HAS SERVED AS A TESTIFYING EXPERT ON DAMAGES AND LIABILITY IN CLASS ACTION, ANTITRUST, PATENT, AND UNFAIR COMPETITION CASES AND HAS TESTIFIED BEFORE THE INTERNATIONAL TRADE COMMISSION AND THE ILLINOIS COMMERCE COMMISSION. HE HAS EXTENSIVE CONSULTING EXPERIENCE ON BOTH COMPETITOR AND CLASS ACTION CASES INVOLVING A WIDE RANGE OF ANTITRUST ISSUES, INCLUDING COLLUSION, BUNDLING/TYING, EXCLUSIVE DEALING, AND PREDATORY PRICING. HE HAS WORKED ON CASES INVOLVING PRICE FIXING, QUANTITY RESTRICTIONS, AND NON-COMPETE AGREEMENTS. DR. DURKIN HAS CONSULTED ON A VARIETY OF MERGER CASES FOR GOVERNMENT AGENCIES IN THE US AND CANADA AND ALSO FOR MERGING PARTIES IN BOTH HORIZONTAL AND VERTICAL MERGERS. HE HAS ALSO CONSULTED FOR A MAJOR RETAILER EXAMINING RETAIL EXPENDITURES ACROSS DIFFERENT TARGET GROUPS AND A TRADE ASSOCIATION ESTIMATING THE IMPACT OF PROPOSED CHANGES IN EPA REGULATIONS. DR. DURKIN IS A LECTURER AT THE HARRIS GRADUATE SCHOOL OF PUBLIC POLICY STUDIES AT THE UNIVERSITY OF CHICAGO AND PREVIOUSLY TAUGHT AT THE SCHOOL’S BOOTH SCHOOL OF BUSINESS. HE ALSO TAUGHT AT WAYNE STATE UNIVERSITY. PRIOR TO JOINING CRA, HE WAS A PRINCIPAL AND DIRECTOR AT NAVIGANT ECONOMICS.|HARRIS SCHOOL OF PUBLIC POLICY
SEIYA KAWASHIMA|SEIYA IS A RESEARCH SYSTEMS ADMINISTRATOR; HE JOINED HARRIS IN 2019. HE IS RESPONSIBLE FOR MANAGING HARRIS' CLOUD COMPUTING INFRASTRUCTURE AND ASSISTING THE FACULTY AND PH.D. STUDENT RESEARCH ACTIVITIES. PRIOR TO JOINING HARRIS, HE WAS AN APPLICATION PROGRAMMER AT THE RADIOLOGY DEPARTMENT AT THE UNIVERSITY OF CHICAGO. AS A PROGRAMMER, HE ASSISTED FACULTY, RADIOLOGISTS AND PH.D.  STUDENTS FOR THEIR RESEARCH. SEIYA HAS CONTRIBUTED TO FREE AND OPEN-SOURCE PROJECTS SUCH AS GNU LIBUNISTRING, JAVA HIBERNATE FRAMEWORK AND OPENBSD PROJECTS. HE IS THE ORIGINAL AUTHOR OF THE REDIS INTEGRATION FOR JAVA HIBERNATE FRAMEWORK. SEIYA HOLDS AN MS IN COMPUTER SCIENCE FROM LOYOLA UNIVERSITY CHICAGO AND A BA IN ECONOMICS FROM RITSUMEIKAN UNIVERSITY IN KYOTO, JAPAN.|HARRIS SCHOOL OF PUBLIC POLICY
SETH RACHLIN|DR. RACHLIN IS AN ACKNOWLEDGED THOUGHT LEADER ON TOPICS CONCERNING THE INTERSECTION OF RISK AND TECHNOLOGY. HE IS CURRENTLY LECTURER IN PUBLIC POLICY AT THE UNIVERSITY OF CHICAGO AND INSURANCE INDUSTRY LEADER AT GLOBAL CONSULTANCY, CAPGEMINI. DR. RACHLIN HAS CLOSE TO 30 YEARS’ EXPERIENCE BUILDING AND ADVISING COMPANIES IN THE INSURANCE, TECHNOLOGY AND BUSINESS SERVICES SECTORS. HE HAS FOUNDED, BUILT AND NEGOTIATED THE SALE OF TWO COMPANIES TO PUBLICLY TRADED ENTITIES. HE HAS EXTENSIVE EXPERIENCE AS A CONSULTANT TO OVER 50 FORTUNE 500 AND MIDDLE MARKET INSURANCE COMPANIES IN BOTH THE LIFE AND ANNUITY AND PROPERTY AND CASUALTY BUSINESSES. HE HAS ALSO ADVISED NUMEROUS SOFTWARE, SERVICE, AND HARDWARE PROVIDERS IN THE BUSINESS APPLICATION; DATA MANAGEMENT; SECURITY, NETWORK AND DATA CENTER INFRASTRUCTURE; AND INFORMATION INTEGRATION SPACES.   DR. RACHLIN HOLDS AN AB IN HISTORY FROM PRINCETON UNIVERSITY AND A PHD IN SOCIOLOGY FROM COLUMBIA UNIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
SHAMUS REGAN|"AS SENIOR ASSOCIATE DIRECTOR OF INFORMATION TECHNOLOGY AT HARRIS PUBLIC POLICY, SHAMUS REGAN OVERSEES THE USER SUPPORT TEAM, MANAGING DAY-TO-DAY OPERATIONS AS WELL AS THE IMPLEMENTATION OF LARGER SCALE INITIATIVES THAT ADD VALUE TO END USERS. HE IS RESPONSIBLE FOR THE DEVELOPMENT AND MAINTENANCE OF SERVICE LEVEL AGREEMENTS (SLAS) AND STANDARD POLICIES, PROCEDURES, AND DOCUMENTATION TO ENSURE HIGH QUALITY SERVICE DELIVERY TO HARRIS CONSTITUENTS. HE COORDINATES USER COMMUNICATION/TRAINING EFFORTS AND PROVIDES ADVANCED TECHNICAL SUPPORT. PREVIOUSLY, SHAMUS SPENT A NUMBER OF YEARS AS ADMINISTRATOR OF THE HARRIS WEBSITE.
PRIOR TO JOINING HARRIS, SHAMUS WORKED AS A SUPPORT SPECIALIST AND MANAGER OF SOFTWARE SUPPORT FOR SOCIAL SCIENCE RESEARCH COMPUTING AT THE UNIVERSITY OF CHICAGO, SUPPORTING TWO COMPUTER LABS, CONDUCTING SOFTWARE TRAINING WORKSHOPS, AND ASSISTING FACULTY AND DOCTORAL STUDENTS WITH DATA ANALYSES, FROM STANDARD REGRESSIONS TO QUALITATIVE DATA MINING. BEFORE JOINING THE UNIVERSITY, SHAMUS CONDUCTED STATISTICAL ANALYSES FOR A SURVEY RESEARCH FIRM THAT SPECIALIZES IN PATIENT SATISFACTION REPORTS FOR HEALTHCARE FACILITIES; SPENT TIME AT THE NATIONAL CENTER FOR SUPERCOMPUTING APPLICATIONS DESIGNING A JAVA-BASED WEB PORTAL FOR REAL-TIME COLLABORATION AMONG K–12 TEACHERS; AND WORKED AS PART OF A RESEARCH PROJECT EVALUATING THE SCOPE AND QUALITY OF FORENSIC CLINICIAN REPORTS IN THE CHICAGO JUVENILE COURT SYSTEM.
SHAMUS HOLDS BACHELOR’S DEGREES IN PSYCHOLOGY AND COMPUTER SCIENCE FROM THE UNIVERSITY OF ILLINOIS AND AN MA IN COGNITIVE PSYCHOLOGY FROM THE UNIVERSITY OF ILLINOIS AT CHICAGO. HIS RESEARCH FOCUSED ON HUMAN KNOWLEDGE ACQUISITION AND THE NATURE OF EXPERTISE."|HARRIS SCHOOL OF PUBLIC POLICY
SHAODA WANG|SHAODA WANG IS AN ASSISTANT PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY, AND A FACULTY RESEARCH FELLOW AT THE NATIONAL BUREAU OF ECONOMIC RESEARCH (NBER). HE ALSO SERVES AS THE DEPUTY FACULTY DIRECTOR OF THE ENERGY POLICY INSTITUTE AT UCHICAGO, CHINA CENTER (EPIC-CHINA). HE IS AN APPLIED ECONOMIST WITH RESEARCH INTERESTS IN DEVELOPMENT ECONOMICS, ENVIRONMENTAL ECONOMICS, AND POLITICAL ECONOMY, WITH A REGIONAL FOCUS ON CHINA. HE HOLDS A BA FROM PEKING UNIVERSITY, AND A PHD FROM THE UNIVERSITY OF CALIFORNIA, BERKELEY. PRIOR TO JOINING HARRIS, HE WAS A POSTDOCTORAL SCHOLAR IN THE DEPARTMENT OF ECONOMICS AND ENERGY POLICY INSTITUTE (EPIC) AT THE UNIVERSITY OF CHICAGO.|HARRIS SCHOOL OF PUBLIC POLICY
SHEILA KOHANTEB|"SHEILA KOHANTEB JOINED THE PEARSON INSTITUTE IN 2017 AND IS THE FORUM EXECUTIVE DIRECTOR & EXECUTIVE DIRECTOR OF EXTERNAL RELATIONS. SHEILA IS THE KEY LIAISON BETWEEN THE PEARSON INSTITUTE, HARRIS PUBLIC POLICY, AND INTERNATIONAL PARTNERS, ENHANCING AND EXPANDING FORMAL PARTNERSHIPS, WITH A PARTICULAR INTEREST IN EXPERIENTIAL OPPORTUNITIES. 
 
SHEILA PREVIOUSLY MANAGED INTERNATIONAL, CORPORATE, AND FOUNDATION PHILANTHROPY AT NORTHEASTERN UNIVERSITY AND BABSON COLLEGE, ENGAGING WITH DONORS AND FACILITATING THE RECEIPT AND STRATEGIC ALLOCATION OF GIFTS. PRIOR TO THESE ROLES, SHE LED EFFORTS TO DESIGN AND IMPLEMENT INTERNATIONAL STUDY ABROAD OPPORTUNITIES AT NORTHEASTERN UNIVERSITY. KOHANTEB DEVELOPED AND LED NUMEROUS UNDERGRADUATE AND GRADUATE STUDENTS IN SUMMER STUDY ABROAD PROGRAMS AND GLOBAL INTERNSHIP OPPORTUNITIES TO THE MIDDLE EAST, NORTHERN IRELAND, AND THE BALKANS, WHILE TEACHING CONFLICT AND NEGOTIATION RESPECTIVE TO EACH REGION.
 
SHEILA HAS TAUGHT POLITICAL SCIENCE AND INTERNATIONAL AFFAIRS AT NORTHEASTERN UNIVERSITY, WITH AN EMPHASIS ON CONFLICT AND POLITICAL PSYCHOLOGY. AS A POLITICAL SCIENTIST, SHEILA’S RESEARCH FOCUSES PRIMARILY ON GLOBAL CONFLICT AND NEGOTIATION, WITH REGIONAL FOCI ON THE MIDDLE EAST AND NORTHERN IRELAND. KOHANTEB RECEIVED A BA IN POLITICAL SCIENCE FROM UCLA AND AN MA AND PH.D. FROM NORTHEASTERN UNIVERSITY."|HARRIS SCHOOL OF PUBLIC POLICY
SHELLEY DAVIS|SHELLEY DAVIS WAS APPOINTED AS PRESIDENT AND CEO OF COLEMAN FOUNDATION IN 2020. SHE HAS DEDICATED HER CAREER TO THE NON-PROFIT AND PHILANTHROPIC SECTOR AND IS A LIFELONG CHICAGO SOUTHSIDER WHO GREW UP IN THE SOUTH SHORE NEIGHBORHOOD. IN HER EARLY CAREER SHE PROVIDED CRISIS INTERVENTION COUNSELING AND POLICY ADVOCACY. SHE BEGAN WORKING IN PHILANTHROPY DURING GRADUATE SCHOOL AT THE UNIVERSITY OF ILLINOIS, CHICAGO WITH A FELLOWSHIP AT THE FIELD FOUNDATION. SHELLEY CREDITS EXCELLENT MENTORING AND TRAINING AT THE FORD FOUNDATION AND THE JOYCE FOUNDATION FOR GUIDING HER DEVELOPMENT AS A GRANTMAKER, INSTILLING A DEEP APPRECIATION FOR THE PRIVILEGE AND RESPONSIBILITIES OF MOVING RESOURCES TO BENEFIT COMMUNITIES, AND PREPARING HER FOR THE CHALLENGES OF SENIOR MANAGEMENT. OVER THE PAST TEN YEARS SHELLEY HAS HELD LEADERSHIP ROLES AS VICE PRESIDENT AT THE CHICAGO FOUNDATION FOR WOMEN AND, BEGINNING IN 2013, AS THE INAUGURAL EXECUTIVE DIRECTOR OF THE FOREST PRESERVE FOUNDATION, A PUBLIC PRIVATE PARTNERSHIP, WHERE SHE RAISED FUNDS AND MADE GRANTS TO SUPPORT ECOLOGICAL RESTORATION PROJECTS IN COOK COUNTY PRESERVES AND OPPORTUNITIES FOR FAMILIES AND CHILDREN FROM A DIVERSITY OF BACKGROUNDS TO ENJOY NATURE. EQUALLY IMPORTANT TO SHELLEY ARE HER CIVIC COMMITMENTS. SHE IS BOARD CHAIR OF THE ALBERT PICK JR. FUND, TRUSTEE FOR LAWRENCE UNIVERSITY WHERE SHE EARNED A BACHELOR DEGREE IN PSYCHOLOGY, AND SHE SERVES AS AN ILLINOIS COMMISSIONER OF JUVENILE JUSTICE. SHELLEY IS COMMITTED TO SOCIAL JUSTICE, EQUITY, AND TO PAYING IT FORWARD TO THE NEXT GENERATION. SHE IS A LECTURER AND SENIOR MENTOR AT UNIVERSITY OF CHICAGO’S HARRIS SCHOOL OF PUBLIC POLICY, FOCUSING ON NONPROFIT AND PHILANTHROPIC ORGANIZATIONS’ IMPACT ON PUBLIC POLICY. IN 2017, UIC’S COLLEGE OF URBAN PLANNING AND PUBLIC AFFAIRS HONORED SHELLEY WITH THE JIM MAREK ALUMNI APPRECIATION AWARD, WHICH RECOGNIZES INDIVIDUALS FOR THEIR DEDICATION TO THE FIELDS OF URBAN PLANNING AND PUBLIC ADMINISTRATION AND THEIR CONTRIBUTIONS TO THE DEVELOPMENT OF THE COLLEGE’S STUDENTS AND ALUMNI. IN 2018 AND 2019, MAKE IT BETTER RECOGNIZED SHELLEY AS ONE OF CHICAGO’S TOP BLACK WOMEN OF IMPACT. IN 2019, UNIVERSITY OF CHICAGO HARRIS PUBLIC POLICY STUDENTS, NAMED SHELLEY AS MENTOR OF THE YEAR. SHE KEEPS HERSELF HEALTHY BY STUDYING YOGA, BIKING AND SWIMMING. SHE ENJOYS TAKING LONG WALKS AND TRAVELING. SHELLEY LIVES IN BRONZEVILLE WITH HER HUSBAND AND TWO TEENAGE CHILDREN.|HARRIS SCHOOL OF PUBLIC POLICY
SHENG-HAO LO|SHENG-HAO LO IS AN ASSISTANT INSTRUCTIONAL PROFESSOR AT THE HARRIS SCHOOL OF PUBLIC POLICY AT THE UNIVERSITY OF CHICAGO, WHERE HE TEACHES CORE COURSES IN STATISTICS, DATA ANALYTICS AND MICROECONOMICS. HE HAS A BROAD SET OF TEACHING AND RESEARCH INTERESTS IN APPLIED MICROECONOMICS AND APPLIED ECONOMETRICS, WITH A FOCUS ON HEALTH POLICY. IN PARTICULAR, HE IS INTERESTED IN STUDYING HOSPITAL--PATIENT AGENCY ISSUES IN THE CONTEXT OF DIFFERENT HEALTHCARE SYSTEMS, AS WELL AS HOW GOVERNMENTS RESPOND TO THE ISSUES UNDER EXISTING REGULATIONS.  DURING HIS TIME AS A PHD STUDENT, SHENG-HAO HAS SERVED AS A HEAD TEACHING ASSISTANT FOR THE DEPARTMENT OF ECONOMICS, HARRIS SCHOOL OF PUBLIC POLICY, FINANCIAL MATHEMATICS, AND BOOTH SCHOOL OF BUSINESS. IN 2016, HE WAS THE SOLO WINNER OF THE OUTSTANDING GRADUATE TEACHING ASSISTANT AWARD FROM THE DEPARTMENT OF ECONOMICS. SHENG-HAO HOLDS A PHD AND MA IN ECONOMICS FROM THE UNIVERSITY OF CHICAGO, AND A BS IN ELECTRICAL ENGINEERING AND BA IN ECONOMICS FROM NATIONAL TAIWAN UNIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
