name|faculty_of|has_phd_info|phd_where
LESLEY SNYDER|INDIANA UNIVERSITY O'NEILL SCHOOL| 2013BSHA, INDIANA UNIVERSITY,| 2013BSHA, INDIANA UNIVERSITY, 2009CERTIFICATE IN BUSINESS, INDIANA UNIVERSITY,
LESLIE ABSHIER|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA,|MPA, NONPROFIT MANAGEMENT AND FUND DEVELOPMENT, O'NEILL, INDIANA UNIVERSITY,
LESLIE LENKOWSKY|INDIANA UNIVERSITY O'NEILL SCHOOL| SOCIETY IN COMPARATIVE PERSPECTIVEPRINCIPLES AND| SOCIETY IN COMPARATIVE PERSPECTIVEPRINCIPLES AND
LESTER  WADZINSKI|INDIANA UNIVERSITY O'NEILL SCHOOL| SLIPPERY ROCK UNIVERSITY, 1983B.S.,| SLIPPERY ROCK UNIVERSITY, 1983B.S.,
LIENNE  SETHNA|INDIANA UNIVERSITY O'NEILL SCHOOL| CANDIDATE,| UNIVERSITYB.S., EARTH SCIENCES, THE OHIO STATE UNIVERSITY,
LINDA BILMES|HARVARD KENNEDY SCHOOL|" END IN SIGHT."" SHE IS THE RECIPIENT OF"| MOSCOW WITH THE BOSTON CONSULTING GROUP. SHE IS A MEMBER OF
LISA AMSLER|INDIANA UNIVERSITY O'NEILL SCHOOL| SCHOOL OF LAW, 1979B.A., (MAGNA| SCHOOL OF LAW, 1979B.A., (MAGNA
LOIS RECASCINO WISE|INDIANA UNIVERSITY O'NEILL SCHOOL| JERSEY, 1970MANAGING| JERSEY, 1970MANAGING
LORI GARRAGHTY, CFRE|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA, INDIANA UNIVERSITY, 2008B.A.,|MPA, INDIANA UNIVERSITY, 2008B.A.,
LUIS ARMONA|HARVARD KENNEDY SCHOOL| RESERVE. FOR THE 2022-23 ACADEMIC YEAR, HE WAS A POST-DOCTORAL| RESERVE. FOR THE 2022-23 ACADEMIC YEAR, HE WAS A POST-DOCTORAL
MADHU CAIN|HARRIS SCHOOL OF PUBLIC POLICY| THE 1980S.| THE 1980S.
MADISON ZACCARDELLI|HARRIS SCHOOL OF PUBLIC POLICY| VISITED.| SWEET 7-LB
MAGGIE ELMARAKBY|HARRIS SCHOOL OF PUBLIC POLICY| ROLE. | SINCE 2012,
MAGGIE SHI|HARRIS SCHOOL OF PUBLIC POLICY| HARRIS.| TO JOINING HARRIS.
MALIHA CHISHTI|HARRIS SCHOOL OF PUBLIC POLICY| TORONTO’S| KANDAHAR AFGHANISTAN.
MARC FARINELLA|HARRIS SCHOOL OF PUBLIC POLICY| MANY OTHERS.| SURVEY METHODOLOGY.
MAREIKE SCHOMERUS|HARRIS SCHOOL OF PUBLIC POLICY| CONFLICT (BLOOMSBURY, 2023).| CONFLICT (BLOOMSBURY, 2023).
MARIA ANGÉLICA BAUTISTA|HARRIS SCHOOL OF PUBLIC POLICY| MARIA’S| INTERGENERATIONAL CONSEQUENCES OF REPRESSION.
MARINA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY| RELATIONS,| NEGOTIATION, AND PROJECT MANAGEMENT.
MARLEY MANDELARO|HARRIS SCHOOL OF PUBLIC POLICY| EDUCATION, AND PUBLIC SERVICE. MARLEY HOLDS AN A.M.| A 504 COORDINATOR &
MARQUIS HAYES|HARRIS SCHOOL OF PUBLIC POLICY| WITHIN THE ILLINOIS| BROOKS' WORKS OF POETRY.
MARTIN CASTILLO QUINTANA|HARRIS SCHOOL OF PUBLIC POLICY|MARTIN CASTILLO|MARTIN CASTILLO
MARYSUE BARRETT|HARRIS SCHOOL OF PUBLIC POLICY|OPIC, AND PRIVATE SECTOR LEADERS.| IN 2021,
MATT NIKSCH|HARRIS SCHOOL OF PUBLIC POLICY| THEIR 3 SONS.| THEIR 3 SONS.
MATT ROARTY|HARRIS SCHOOL OF PUBLIC POLICY| AID, INC. MATT HAS AN M.A.| AID, INC. MATT HAS AN M.A.
MATTHEW FLEMING|HARRIS SCHOOL OF PUBLIC POLICY| AND REPORTS.| WORK. HE
MATTHEW STAGNER|HARRIS SCHOOL OF PUBLIC POLICY| HUMAN SERVICES. | IN 2013 AFTER SERVING AS EXECUTIVE DIRECTOR OF CHAPIN
MAURICIO VILLACRES|HARRIS SCHOOL OF PUBLIC POLICY| HIS 3-1/2| HIS 3-1/2
MAY WOODARD-HICKEY|HARRIS SCHOOL OF PUBLIC POLICY| NINE YEARS.|" FOURTEEN YEARS.
MAY"
MAYA LOZINSKI|HARRIS SCHOOL OF PUBLIC POLICY| MD/PHD| MD/PHD
MEGAN BUSBICE|HARRIS SCHOOL OF PUBLIC POLICY| AUDIENCES.|" AUDIENCES. 
BEFORE"
MEREDITH SHINER|HARRIS SCHOOL OF PUBLIC POLICY| NEWS! WITH KATIE COURIC.| NEWS! WITH KATIE COURIC.
MICHAEL A. NUTTER|HARRIS SCHOOL OF PUBLIC POLICY| PROUD PARENT TO CHRISTIAN AND OLIVIA.| THAN $11.5
MICHAEL GREENSTONE|HARRIS SCHOOL OF PUBLIC POLICY| ECONOMICS:HTTPS://ECONOMICS.UCHICAGO.EDU/DIRECTORY/MICHAEL-GREENSTONE| ECONOMICS:HTTPS://ECONOMICS.UCHICAGO.EDU/DIRECTORY/MICHAEL-GREENSTONE
MICHAEL KREMER|HARRIS SCHOOL OF PUBLIC POLICY| FROM 1987 TO 2019.| REACHES 4 MILLION PEOPLE VIA THE NGO EVIDENCE ACTION.
MICHAEL MIKLAUCIC|HARRIS SCHOOL OF PUBLIC POLICY| NDU’S FLAGSHIP JOURNAL OF COMPLEX OPERATIONS. | ECONOMICS, AND THE SCHOOL FOR ADVANCED INTERNATIONAL STUDIES. 
MICHAEL TIBORIS|HARRIS SCHOOL OF PUBLIC POLICY| IN 2016.| IN 2016.
MICHELLE MICHELINI|HARRIS SCHOOL OF PUBLIC POLICY| BIP LAB”.| BIP LAB”.
MIGUEL SANTOS|HARRIS SCHOOL OF PUBLIC POLICY|" AMERICA (2008-2009).
MIGUEL"| COMPANIES (1997-2003),
MILVIA RODRIGUEZ|HARRIS SCHOOL OF PUBLIC POLICY| FROM 2015-2019.| FROM 2015-2019.
MIRELA MUNTEANU|HARRIS SCHOOL OF PUBLIC POLICY| NORTHEASTERN ILLINOIS UNIVERSITY.| NORTHEASTERN ILLINOIS UNIVERSITY.
MISHO CEKO|HARRIS SCHOOL OF PUBLIC POLICY| OF ILLINOIS AT CHICAGO.| ST.
MOLLY O'DONNELL|HARRIS SCHOOL OF PUBLIC POLICY| MOLLY HAS A PH.D.| AMERICAN ARCHAEOLOGY,
MAHIMA ACHUTHAN|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| ON CORPORATE SOCIAL RESPONSIBILITY AND| MANAGING
MALLORY BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL| ZOOLOGY,| ZOOLOGY,
MARC LAME|INDIANA UNIVERSITY O'NEILL SCHOOL| MANAGEMENTINSECTS AND| MANAGEMENTINSECTS AND
MARCELLA ALSAN|HARVARD KENNEDY SCHOOL| LAB BASED OUT OF MIT. SHE IS| LAB BASED OUT OF MIT. SHE IS
MARK  KRUZAN|INDIANA UNIVERSITY O'NEILL SCHOOL| 2018-PRESENTV340 URBAN GOVERNMENT ADMINISTRATION, 2012-PRESENTV450| 2018-PRESENTV340 URBAN GOVERNMENT ADMINISTRATION, 2012-PRESENTV450
MARK  UEBEL|INDIANA UNIVERSITY O'NEILL SCHOOL| COUNSELING AND GUIDANCE, INDIANA UNIVERSITY, 1978| COUNSELING AND GUIDANCE, INDIANA UNIVERSITY, 1978
MARK LEVIN|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA, KENT STATE UNIVERSITY, 1970B.A.,|MPA, KENT STATE UNIVERSITY, 1970B.A.,
MARK NISWANDER|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCE,| SCIENCE,
MARK SHEEHAN|INDIANA UNIVERSITY O'NEILL SCHOOL| 1979MA, INDIANA UNIVERSITY, 1972BA,| 1979MA, INDIANA UNIVERSITY, 1972BA,
MARTA VENIER|INDIANA UNIVERSITY O'NEILL SCHOOL| OF PUBLIC AND ENVIRONMENTAL AFFAIRS, 2008LAUREA| OF PUBLIC AND ENVIRONMENTAL AFFAIRS, 2008LAUREA
MARTHA FARELLA|INDIANA UNIVERSITY O'NEILL SCHOOL| ARIZONA, 2015B.S. GENETICS,| ARIZONA, 2015B.S. GENETICS,
MARY  WILLETT|INDIANA UNIVERSITY O'NEILL SCHOOL| ENGINEERING, PURDUE UNIVERSITY, 1984| ENGINEERING, PURDUE UNIVERSITY, 1984
MARY JO BANE|HARVARD KENNEDY SCHOOL| DEAN AT HKS. SHE IS THE AUTHOR| DEAN AT HKS. SHE IS THE AUTHOR
MARYLIS FANTONI|INDIANA UNIVERSITY O'NEILL SCHOOL| RELATIONS, FEDERAL UNIVERSITY OF RIO DE JANEIRO, 2018| RELATIONS, FEDERAL UNIVERSITY OF RIO DE JANEIRO, 2018
MATTHEW ANDREWS|HARVARD KENNEDY SCHOOL| ON THE TOPICS OF DEVELOPMENT AND MANAGEMENT. HE IS ALSO| ON THE TOPICS OF DEVELOPMENT AND MANAGEMENT. HE IS ALSO
MATTHEW BAGGETTA|INDIANA UNIVERSITY O'NEILL SCHOOL| WELFARE: STATE-BUILDING (O'NEILL SUMMER IN LONDON COURSE| WELFARE: STATE-BUILDING (O'NEILL SUMMER IN LONDON COURSE
MATTHEW BAUM|HARVARD KENNEDY SCHOOL| AMERICAN FOREIGN POLICY IN PARTICULAR,| AMERICAN FOREIGN POLICY IN PARTICULAR,
MAUREEN A. PIROG|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCEPOVERTY AND| SCIENCEPOVERTY AND
MAX BAZERMAN|HARVARD KENNEDY SCHOOL| LEADERSHIP AT THE HARVARD KENNEDY SCHOOL. HE IS THE AUTHOR, CO-AUTHOR,| LEADERSHIP AT THE HARVARD KENNEDY SCHOOL. HE IS THE AUTHOR, CO-AUTHOR,
MEGAN  STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL| DEVELOPMENT AND FAMILY STUDIES, IU, 2018BGS,| DEVELOPMENT AND FAMILY STUDIES, IU, 2018BGS,
MELISSA LANEY|INDIANA UNIVERSITY O'NEILL SCHOOL| AFFAIRS (MINOR| AFFAIRS (MINOR
MICHAEL RUSHTON|INDIANA UNIVERSITY O'NEILL SCHOOL| ONTARIO, 1981B.A., UNIVERSITY OF BRITISH COLUMBIA, 1980CULTURAL| ONTARIO, 1981B.A., UNIVERSITY OF BRITISH COLUMBIA, 1980CULTURAL
MICHAEL S. BARR|FORD SCHOOL OF PUBLIC POLICY| SCHOOL OF PUBLIC POLICY, AND WAS THE FOUNDER AND FACULTY DIRECTOR| IN INTERNATIONAL RELATIONS
MINDY KING|INDIANA UNIVERSITY O'NEILL SCHOOL| PSYCHOLOGY,| PSYCHOLOGY,
MIRANDA REDMAN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
MITCHELL R. BERG|INDIANA UNIVERSITY O'NEILL SCHOOL| STUDIES, MINNESOTA STATE UNIVERSITY MANKATOB.S.,| STUDIES, MINNESOTA STATE UNIVERSITY MANKATOB.S.,
MOLLY  STEWART|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICY STUDIES,| POLICY STUDIES,
MORELA HERNANDEZ|FORD SCHOOL OF PUBLIC POLICY| ON LEADERSHIP AND DIVERSITY, AND IS| ON LEADERSHIP AND DIVERSITY, AND IS
NATHAN BARKER|HARRIS SCHOOL OF PUBLIC POLICY| IN KENYA FOR THE BOMA PROJECT.| IN KENYA FOR THE BOMA PROJECT.
NAVIN KUMAR|HARRIS SCHOOL OF PUBLIC POLICY| NATURAL DISASTERS.| NATURAL DISASTERS.
NED ENGLISH|HARRIS SCHOOL OF PUBLIC POLICY| BOOK CHAPTERS AND CONFERENCE PROCEEDINGS.| HEALTH, AND THE NATIONAL INSTITUTE ON AGING. 
NEHA MEHRA|HARRIS SCHOOL OF PUBLIC POLICY| OF 2016” BY INDIEWIRE.| OF 2016” BY INDIEWIRE.
NICHOLAS MOORE|HARRIS SCHOOL OF PUBLIC POLICY| SON, AND DOG.| PRIORITIES SUCH
NICHOLE HORN|HARRIS SCHOOL OF PUBLIC POLICY| IN 2008.| IN 2008.
NICK FAHNDERS|HARRIS SCHOOL OF PUBLIC POLICY| INCLUDES 10+ YEARS IN CAREER COACHING, STRATEGIC| INCLUDES 10+ YEARS IN CAREER COACHING, STRATEGIC
NORMAN BRADBURN|HARRIS SCHOOL OF PUBLIC POLICY| MANNHEIM, GERMANY.| IN 1994.
NOUR ABDUL-RAZZAK|HARRIS SCHOOL OF PUBLIC POLICY| AND INEQUALITY.| AND INEQUALITY.
NANCY GUYOTT|INDIANA UNIVERSITY O'NEILL SCHOOL| MAURER SCHOOL OF LAW AT BLOOMINGTON,1993A.B.| MAURER SCHOOL OF LAW AT BLOOMINGTON,1993A.B.
NATALIA RAYZOR|INDIANA UNIVERSITY O'NEILL SCHOOL| 1997V457 HR TRAINING AND| 1997V457 HR TRAINING AND
NIKOLAOS ZIROGIANNIS|INDIANA UNIVERSITY O'NEILL SCHOOL| 2013M.S., UNIVERSITY OF MASSACHUSETTS-AMHERST,| 2013M.S., UNIVERSITY OF MASSACHUSETTS-AMHERST,
OEINDRILA DUBE|HARRIS SCHOOL OF PUBLIC POLICY| IN 2002.| IN 2002.
OLIVER  NELSON JR. |INDIANA UNIVERSITY O'NEILL SCHOOL| ARTS,| ARTS,
ORVILLE POWELL|INDIANA UNIVERSITY O'NEILL SCHOOL| 1963B.A.,| 1963B.A.,
OSITA  AFOAKU|INDIANA UNIVERSITY O'NEILL SCHOOL| POLITICAL ECONOMYGLOBAL GOVERNANCE IN THE| POLITICAL ECONOMYGLOBAL GOVERNANCE IN THE
OWEN  WITESMAN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
PAIGE AZUMA|HARRIS SCHOOL OF PUBLIC POLICY| NATIONAL/INTERNATIONAL FUNDRAISING| CHICAGO’S SCHOOL OF SOCIAL SERVICE ADMINISTRATION.
PAULA WORTHINGTON|HARRIS SCHOOL OF PUBLIC POLICY| FOR RESULTS| IN 1988. 
PETER GANONG|HARRIS SCHOOL OF PUBLIC POLICY| OF 2021.| OF 2021.
PAOLO BELARDINELLI|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 2014BA, ECONOMICS AND FINANCE, UNIVERSITY OF BOLOGNA,| UNIVERSITY, 2014BA, ECONOMICS AND FINANCE, UNIVERSITY OF BOLOGNA,
PAUL FOGLEMAN|INDIANA UNIVERSITY O'NEILL SCHOOL| YORK, 2002BA, INTERNATIONAL STUDIES AND GERMAN, MISSOURI UNIVERSITY, 1998| YORK, 2002BA, INTERNATIONAL STUDIES AND GERMAN, MISSOURI UNIVERSITY, 1998
PAUL HELMKE|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCE, INDIANA UNIVERSITY, 1970COMMUNICATIONS| SCIENCE, INDIANA UNIVERSITY, 1970COMMUNICATIONS
PAULA LANTZ|FORD SCHOOL OF PUBLIC POLICY| UPSTREAM POLICY CHANGES TO| DIRECT DEMOCRACY AND ABORTION POLICY IN THE 2022 MIDTERM ELECTIONS: WINS AND CAVEATS.
PERRY MAULL|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYB.S.| UNIVERSITYB.S.
PHIL LEHMKUHLER|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA,|MPA,
PHILIP S. STEVENS|INDIANA UNIVERSITY O'NEILL SCHOOL| TOPICS IN ATMOSPHERIC CHEMISTRYAIR POLLUTION AND| TOPICS IN ATMOSPHERIC CHEMISTRYAIR POLLUTION AND
PHOEBE  WAKHUNGU|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, O'NEILL 2004B.S., UNIVERSITY OF NAIROBI| UNIVERSITY, O'NEILL 2004B.S., UNIVERSITY OF NAIROBI
QUINN RALLINS|HARRIS SCHOOL OF PUBLIC POLICY| OF 2021 FELLOW.  QUINN| OF 2021 FELLOW. 
R.J. WOODRING|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY BLOOMINGTONM.S.,| UNIVERSITY BLOOMINGTONM.S.,
RAAJ SAH|HARRIS SCHOOL OF PUBLIC POLICY| QUOTATION (FROM TRESCH) |ERS, IDEAS, SSRN,
RAHMATULLAH HAMRAZ|HARRIS SCHOOL OF PUBLIC POLICY| ECONOMICS, AT PANJAB UNIVERSITY IN INDIA.| ECONOMICS, AT PANJAB UNIVERSITY IN INDIA.  IN
RANJAN DANIELS|HARRIS SCHOOL OF PUBLIC POLICY| AND OPENING NEW INTERNATIONAL MARKETS. | AND OPENING NEW INTERNATIONAL MARKETS. 
RAUL SANCHEZ DE LA SIERRA|HARRIS SCHOOL OF PUBLIC POLICY| SINCE 2009.| CALLING  
REBECCA HOU|HARRIS SCHOOL OF PUBLIC POLICY| OVER 300 GRADUATE STUDENTS.| OVER 300 GRADUATE STUDENTS.
REBECCA WOLFE|HARRIS SCHOOL OF PUBLIC POLICY| BASED,|EORETICALLY GROUNDED
RENA DASCAL|HARRIS SCHOOL OF PUBLIC POLICY| THAN 15 YEARS OF EXPERIENCE IN FUNDRAISING,| THAN 15 YEARS OF EXPERIENCE IN FUNDRAISING,
RENAE FENTRESS|HARRIS SCHOOL OF PUBLIC POLICY| CHILDREN.| HER HUSBAND AND THREE CHILDREN.
RENE BAUTISTA|HARRIS SCHOOL OF PUBLIC POLICY| NEWS, NBC NEWS AND THE ASSOCIATED PRESS.| AND METHODOLOGY.
RICHARD DELEWSKY|HARRIS SCHOOL OF PUBLIC POLICY| TO D&I,| M.S.
ROBERT GOERGE|HARRIS SCHOOL OF PUBLIC POLICY|ROBERT M.| FELLOW, CHAPIN
ROBERT KAESTNER|HARRIS SCHOOL OF PUBLIC POLICY| (SUNY). | UNIVERSITY (SUNY). 
ROBERT OWENS|HARRIS SCHOOL OF PUBLIC POLICY| POLICE DISCIPLINARY PROCESS.| POLICE DISCIPLINARY PROCESS.
ROBERT ROSNER|HARRIS SCHOOL OF PUBLIC POLICY| BOOTH SCHOOL OF BUSINESS.| ENVIRONMENTS.
ROBERT T. MICHAEL|HARRIS SCHOOL OF PUBLIC POLICY| STUDY 2002–2006.| STUDY 2002–2006.
ROGER MYERSON|HARRIS SCHOOL OF PUBLIC POLICY| IN 2001.| IN 2001.
RONALD GIBBS|HARRIS SCHOOL OF PUBLIC POLICY| VIETNAM VETERANS| COMMONLY KNOWN
RONI RAULWING|HARRIS SCHOOL OF PUBLIC POLICY| THAN 15 YEARS.| THAN 15 YEARS.
RUOQI HUANG|HARRIS SCHOOL OF PUBLIC POLICY| IN 2016.| IN 2016.
RYAN KELLOGG|HARRIS SCHOOL OF PUBLIC POLICY| AND RYAN KELLOGG (2015),| AND RYAN KELLOGG (2011),
RACHEL CASH|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA, UMKC,|MPA, UMKC,
RAFAEL REUVENY|INDIANA UNIVERSITY O'NEILL SCHOOL| ISRAEL INSTITUTE OF TECHNOLOGY, 1978D669| ISRAEL INSTITUTE OF TECHNOLOGY, 1978D669
REBECCA WARREN|INDIANA UNIVERSITY O'NEILL SCHOOL| INDIANA UNIVERSITY-PURDUE| INDIANA UNIVERSITY-PURDUE
RHONDA BAIRD|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
RICHARD HANSEN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
RICHARD L. HALL|FORD SCHOOL OF PUBLIC POLICY|" CAROLINA AT CHAPEL HILL.
HONORS AND AWARDS
SAMUEL"|" CAROLINA AT CHAPEL HILL.
HONORS AND AWARDS
SAMUEL"
ROBERT BEHN|HARVARD KENNEDY SCHOOL| THE| THE
ROBERT C. HAMPSHIRE|FORD SCHOOL OF PUBLIC POLICY| INSTITUTE FOR DATA SCIENCE (MIDAS), AND AN AFFILIATED FACULTY MEMBER IN| INSTITUTE FOR DATA SCIENCE (MIDAS), AND AN AFFILIATED FACULTY MEMBER IN
ROBERT HANSEN|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY,| UNIVERSITY,
ROBERT S. KRAVCHUK|INDIANA UNIVERSITY O'NEILL SCHOOL| 1977B.A.,| CONNECTICUT, 1977B.A.,
ROGER  PARKS|INDIANA UNIVERSITY O'NEILL SCHOOL| 1972S.B.,| 1972S.B.,
ROGER MORRIS|INDIANA UNIVERSITY O'NEILL SCHOOL| INSTRUCTIONAL SYSTEMS TECHNOLOGY, INDIANA UNIVERSITY, 1991B.A.,| INSTRUCTIONAL SYSTEMS TECHNOLOGY, INDIANA UNIVERSITY, 1991B.A.,
ROHIT AGGARWALA|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| YORK CITY AND OF CANADA.  HIS WORK HAS APPEARED IN BLOOMBERG VIEW,| ON TRANSPORTATION, ENVIRONMENTAL POLICY, AND
RONALD HITES|INDIANA UNIVERSITY O'NEILL SCHOOL| ANALYTICAL CHEMISTRY, MASSACHUSETTS INSTITUTE OF TECHNOLOGY, 1968B.A.,| ANALYTICAL CHEMISTRY, MASSACHUSETTS INSTITUTE OF TECHNOLOGY, 1968B.A.,
ROY W. SHIN|INDIANA UNIVERSITY O'NEILL SCHOOL| 1969M.A., UNIVERSITY OF MINNESOTA, 1962B.A.,| 1969M.A., UNIVERSITY OF MINNESOTA, 1962B.A.,
RYAN MUSHINSKI|INDIANA UNIVERSITY O'NEILL SCHOOL| 2017B.S.,| 2017B.S.,
SABA DEVDARIANI|HARRIS SCHOOL OF PUBLIC POLICY| POLITICS, AND BUREAUCRATIC POLITICS.| POLITICS, AND BUREAUCRATIC POLITICS.
SABRINA DIRK|HARRIS SCHOOL OF PUBLIC POLICY|" COOKING
2) CATS
3)"|" COOKING
2) CATS
3)"
SADIA SINDHU|HARRIS SCHOOL OF PUBLIC POLICY| MATTERS RELATED| MATTERS RELATED
SAMANTHA GEHM|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY'S HRIS.| UNIVERSITY'S HRIS.
SAMANTHA JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY (GSU),| WORLD'S MOST PRESSING PROBLEMS.
SAMMI WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY| COLLEGE, JAMES MADISON COLLEGE.| REFORM. ORIGINALLY FROM ST.
SANAM KAZI|HARRIS SCHOOL OF PUBLIC POLICY|SANAM KAZI| MASTER’S PROGRAM TO EARN HER MA IN PUBLIC POLICY.
SARAH JANE CHRYSLER|HARRIS SCHOOL OF PUBLIC POLICY| IN 2020,| CAREER RELATED TO LIVE EVENTS. AFTER AN INTERNSHIP AT THE LYRIC
SCOTT ASHWORTH|HARRIS SCHOOL OF PUBLIC POLICY|SCOTT ASHWORTH|SCOTT ASHWORTH
SCOTT GEHLBACH|HARRIS SCHOOL OF PUBLIC POLICY| NEW PH.D.| NEW PH.D.
SEAN DURKIN|HARRIS SCHOOL OF PUBLIC POLICY| AND VERTICAL| AND VERTICAL
SEIYA KAWASHIMA|HARRIS SCHOOL OF PUBLIC POLICY| IN 2019.| IN 2019.
SETH RACHLIN|HARRIS SCHOOL OF PUBLIC POLICY|DR.|DR.
SHAMUS REGAN|HARRIS SCHOOL OF PUBLIC POLICY| SATISFACTION REPORTS| APPLICATIONS DESIGNING A JAVA-BASED WEB PORTAL
SHAODA WANG|HARRIS SCHOOL OF PUBLIC POLICY| RESEARCH (NBER).| RESEARCH (NBER).
SHEILA KOHANTEB|HARRIS SCHOOL OF PUBLIC POLICY| NORTHERN IRELAND,| UNIVERSITY.
SHELLEY DAVIS|HARRIS SCHOOL OF PUBLIC POLICY| FOUNDATION. SHELLEY CREDITS| COLLEGE’S STUDENTS AND ALUMNI.
SHENG-HAO LO|HARRIS SCHOOL OF PUBLIC POLICY| STATISTICS, DATA| BOOTH SCHOOL OF BUSINESS.
SHILIN LIU|HARRIS SCHOOL OF PUBLIC POLICY| OTHER—FROM STUDENTS TO FACULTY TO STAFF.”| THE WAYS
SIBYL DAY|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY’S SCHOOL OF PUBLIC HEALTH.| AND EVALUATION, CLIENT RELATIONSHIP MANAGEMENT.
STELLA MOY|HARRIS SCHOOL OF PUBLIC POLICY| THE AMERICAS IN CANADA AND BRAZIL. | UNIVERSITY OF CHICAGO. 
STEVEN DURLAUF|HARRIS SCHOOL OF PUBLIC POLICY|IRICAL ANALOGS OF THESE MODELS.| EMPIRICAL ANALOGS OF THESE MODELS.
STEVEN STRONGIN|HARRIS SCHOOL OF PUBLIC POLICY| CHICAGO,| SPENT 12 YEARS
SUE BURKE|HARRIS SCHOOL OF PUBLIC POLICY| IN OXFORD, OHIO.| COMMUNICATION &
SUSAN MAYER|HARRIS SCHOOL OF PUBLIC POLICY| AGRICULTURE'S| OF CHAPIN
SWAPNA PISIPATI|HARRIS SCHOOL OF PUBLIC POLICY| IN 2017,| ALL EVENTS.
SAMEEKSHA DESAI|INDIANA UNIVERSITY O'NEILL SCHOOL| GLOBALIZATION AND| GLOBALIZATION AND
SAMUEL BAGENSTOS|FORD SCHOOL OF PUBLIC POLICY| THE EMPLOYMENT NON-DISCRIMINATION ACT, AND| HAS BEEN A FACULTY MEMBER AT HARVARD LAW SCHOOL AND WAS A VISITING
SANDY  CLARK-KOLAKS|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
SARAH COHODES|FORD SCHOOL OF PUBLIC POLICY|" VERSION
	PRESS COVERAGE: FOR ALL (MINNEAPOLIS FEDERAL RESERVE BANK)
COHODES,"| PAPER 31056, 2023.
SARAH MINCEY|INDIANA UNIVERSITY O'NEILL SCHOOL| SCHOOL OF PUBLIC AND ENVIRONMENTAL AFFAIRS, INDIANA UNIVERSITY,| SCHOOL OF PUBLIC AND ENVIRONMENTAL AFFAIRS, INDIANA UNIVERSITY,
SARAH POWERS|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY 2008| UNIVERSITY 2008
SCOTT BURGINS|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA, INDIANA UNIVERSITY,|MPA, INDIANA UNIVERSITY,
SEAN  LONG|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY BLOOMINGTON, 2004B.A.,| UNIVERSITY BLOOMINGTON, 2004B.A.,
SEAN  NICHOLSON-CROTTY|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICYSTRATEGIC MANAGEMENT PUBLIC/NONPROFIT| POLICYSTRATEGIC MANAGEMENT PUBLIC/NONPROFIT
SERGIO FERNANDEZ|INDIANA UNIVERSITY O'NEILL SCHOOL| MANAGEMENTPUBLIC ORGANIZATION &| MANAGEMENTPUBLIC ORGANIZATION &
SETH FREEDMAN|INDIANA UNIVERSITY O'NEILL SCHOOL| MANAGEMENTSTATISTICS FOR| MANAGEMENTSTATISTICS FOR RESEARCH IN PUBLIC AFFAIRS II
SHAHZEEN  ATTARI|INDIANA UNIVERSITY O'NEILL SCHOOL| PHYSICS, UNIVERSITY OF ILLINOIS, 2004HUMAN| PHYSICS, UNIVERSITY OF ILLINOIS, 2004HUMAN
SHAWNA GIRGIS|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
SHELLYE SUTTLES|INDIANA UNIVERSITY O'NEILL SCHOOL| ANALYSIS FOR EFFECTIVE DECISION MAKINGSPEA V550 –| ANALYSIS FOR EFFECTIVE DECISION MAKINGSPEA V550 –
