name|faculty_of|model_name|has_phd_info|phd_where
JENNY MANSBRIDGE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JENS LUDWIG|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|DUKE UNIVERSITY
JEREMY EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JESSE DRISCOLL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JESSE ROTHSTEIN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
JESSICA GAGLE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JIE BAI|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
JILL  NICHOLSON-CROTTY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|TEXAS A&M UNIVERSITY
JILL ABRUZESE SLYE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JIM BILDNER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JOANNA WORONKOWICZ|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
JODI DAILY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOE CAUDELL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|UTAH STATE UNIVERSITY
JOE CAUDELL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UTAH STATE UNIVERSITY
JOE PAYOVICH|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOE RYAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UC-BERKELEY
JOE SPIWAK|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOHN  ZODY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN A. LIST|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WYOMING
JOHN A. RUPP|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN AUBREY DOUGLASS|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOHN BURROWS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
JOHN CHAMBERLIN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
JOHN D. CIORCIARI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF OXFORD
JOHN D. GRAHAM|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|CARNEGIE-MELLON UNIVERSITY
JOHN DONAHUE|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
JOHN E. SHASSBERGER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN E. SHASSBERGER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|OAKLAND CITY UNIVERSITY
JOHN FOX|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN GODEC|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN GREGG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN HAIGH|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JOHN HIEFTJE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOHN HOLDREN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|STANFORD
JOHN LEAHY|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PRINCETON UNIVERSITY
JOHN MCCLELLAND|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MARYLAND
JOHN OXTOBY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOHN R. KARAAGAC|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|JOHNS HOPKINS UNIVERSITY
JOHN SCHWARZ|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOHN T  ZIETLOW|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JOHN WILEY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JON ELDON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA-SANTA CRUZ
JON HABER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JON MCHENRY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JONATHAN BORCK|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
JONATHAN COHN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JONATHAN D. RAFF|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
JONATHAN HANSON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
JONATHAN ZITTRAIN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JONGMIN LEE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
JORDAN  SITES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JORDAN HUNTER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JORRIT DE JONG|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|VU AMSTERDAM
JOSEFINA CASTILLO BALTODANO|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOSEPH ALDY|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
JOSEPH HENRICH|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JOSEPH KALT|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA AT LOS ANGELES
JOSEPH NEWHOUSE|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
JOSEPH NYE|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
JOSEPH SHAW|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF KENTUCKY
JOSHUA BLUMENSTOCK|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UC BERKELEY
JOSHUA GOTTLIEB|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
JOSHUA HAUSMAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA AT BERKELEY
JOSHUA WOLFF|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOSIE INNAMORATO|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JOSÉ GÓMEZ-IBÁÑEZ|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
JOY ROHDE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF PENNSYLVANIA
JUAN JIMENEZ|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JUAN SAAVEDRA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JUANITA CAPRI BROWN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JUDGE LAUREL BEATTY BLUNT|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JUDY CHANG|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JULIA MINSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JULIAN BRAVE NOISECAT|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
JULIE BATTILANA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|INSEAD, ECOLE NORMALE SUPÉRIEURE DE CACHAN
JULIE BATTILANA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|INSEAD AND ECOLE NORMALE SUPÉRIEURE DE CACHAN
JULIE BOATRIGHT WILSON|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JULIE DUHON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JULIE M. CARMICHAEL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
JULIETTE KAYYEM|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
JUSTIN DE BENEDICTIS-KESSNER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
JUSTIN MARLOWE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN-MILWAUKEE
JUSTIN MARLOWE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY_OF_WISCONSIN-MILWAUKEE
JUSTIN ROSS|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|WEST VIRGINIA UNIVERSITY
JUSTIN WOLFERS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
JUWON CHUNG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
JUWON CHUNG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
KAITLIN RAIMI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|DUKE UNIVERSITY
KAJ ALTHAUS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KAMISSA CAMARA|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF OXFORD
KAREN DYNAN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
KAREN GAHL-MILLS|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
KAREN MCCLEARY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KARISSA KNAPP|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KARLYN GORSKI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
KATE RAY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATE SHANNON BIDDLE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATHERINE BAICKER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD
KATHERINE CROSBY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATHERINE MICHELMORE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CORNELL UNIVERSITY
KATHERINE NEWMAN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATHERINE WALSH|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATHLEEN  STEDMAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
KATHLEEN HURLEY|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATHRYN  CIMERA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
KATHRYN IERULLI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
KATHRYN M. DOMINGUEZ|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|YALE UNIVERSITY
KATHRYN MICHELLE BENAVIDEZ  WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
KATHRYN SIKKINK|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|COLUMBIA UNIVERSITY
KATHY PHAM|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
KATIE HALL|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATIE MEYER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KATIE SILASIRI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KAVI BHALLA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CORNELL
KELLEN EPSTEIN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KELLI CLARKSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KELLY HALLBERG|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NORTHWESTERN UNIVERSITY
KELLY LOFGREN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KENNETH LOWANDE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF VIRGINIA
KENNETH R. RICHARDS|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|WHARTON SCHOOL, UNIVERSITY OF PENNSYLVANIA
KENNETTE BENEDICT|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
KERI O'MARA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KERRY KRUTILLA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|DUKE UNIVERSITY
KESSELY HONG|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD KENNEDY SCHOOL
KEVIN STANGE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
KHALIL ABDUR-RASHID|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|SOUTHERN METHODIST UNIVERSITY
KHALIL GIBRAN MUHAMMAD|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|RUTGERS UNIVERSITY
KIM KIERAS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KIMBERLY NOVICK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|DUKE UNIVERSITY
KIMBERLY NOVICK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|DUKE UNIVERSITY NICHOLAS SCHOOL OF THE ENVIRONMENT
KIMBERLY WOLSKE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
KIRAN JAIN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KIRSTEN GRØNBJERG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
KISOO KIM|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KOICHIRO ITO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
KONSTANTIN SONIN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MOSCOW STATE UNIVERSITY
KOSALI SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF MARYLAND, COLLEGE PARK
KRISINDA DOHERTY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KRISTIN BURGARD|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
KRISTIN SEEFELDT|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN, ANN ARBOR
KRISTINA BUTAEVA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY
KRISTINA BUTAEVA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST)
KRISTINA FULLERTON RICO|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN–MADISON
KSENIYA YURTAYEVA|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STATE RESEARCH INSTITUTE OF THE MINISTRY OF INTERNAL AFFAIRS OF UKRAINE
KUNAL PAL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LACYNDORA (CINDY) HARRIS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LANJUN PENG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LARISA VLADU|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LARRY A. ROSENTHAL|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UC BERKELEY
LARRY MAGID|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LATANYA SWEENEY|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MIT
LAURA CARROLL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LAURA HELMKE-LONG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
LAURA HELMKE-LONG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LAURA JANE DURFEE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LAURA LITTLEPAGE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LAUREN BRODSKY|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|TUFTS UNIVERSITY
LAUREN SLAGTER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LAWRENCE BACOW|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
LAWRENCE H. SUMMERS|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
LAWRENCE QUARTANA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|TEMPLE UNIVERSITY
LEAH GJERTSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN-MADISON
LECHAE MOTTLEY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LEE FRIEDMAN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|YALE UNIVERSITY
LEE H. HAMILTON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LEEMORE S. DAFNY|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
LEONARD BRASHEAR|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LEONOR CAMARENA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|ARIZONA STATE UNIVERSITY
LEONOR CAMARENA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LESLEY SNYDER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LESLEY TURNER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
LESLIE ABSHIER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LESLIE LENKOWSKY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
LESLIE VILLAVERDE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LESTER  WADZINSKI|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LIENNE  SETHNA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LINDA BILMES|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY_NAME: OXFORD UNIVERSITY
LINDA BILMES|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|OXFORD UNIVERSITY
LINGYANG ZHANG|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LISA AMSLER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LIZ MCKENNA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
LOIS RECASCINO WISE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
LORI GARRAGHTY, CFRE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
LUCAS CHANCEL|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
LUIS ARMONA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|STANFORD UNIVERSITY
LUIS MARTINEZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LYDIA MAKDAH-MUFARREH|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
LYDIA VELIKO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MADHU CAIN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MADISON BROW|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MADISON ZACCARDELLI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MAGGIE ELMARAKBY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MAGGIE SHI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
MAKEDA EASTER|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MALCOLM SPARROW|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|KENT UNIVERSITY AT CANTERBURY
MALIHA CHISHTI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF TORONTO
MALLORY BARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF ARIZONA
MANISHA SHAH|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
MARA CECILIA OSTFELD|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF PENNSYLVANIA
MARC FARINELLA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARC LAME|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|ARIZONA STATE UNIVERSITY
MARCELLA ALSAN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
MAREIKE SCHOMERUS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
MARGARET TALEV|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
MARGARETTA WAN-LING LIN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THE PROVIDED CONTEXT DOES NOT MENTION ANYTHING ABOUT HER PH.D. PROGRAM, SO I CANNOT ANSWER THIS QUESTION.
MARIA ANGÉLICA BAUTISTA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARIA CARRERI|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARIANNE UDOW-PHILLIPS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARINA V.N. WHITMAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
MARINA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARK  KRUZAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
MARK  UEBEL|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
MARK FAGAN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
MARK LEVIN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
MARK MOORE|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|KENNEDY SCHOOL OF GOVERNMENT, HARVARD UNIVERSITY
MARK NISWANDER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
MARK SHEEHAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
MARK SHEPARD|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
MARLEY MANDELARO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARQUIS HAYES|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MARSHALL GANZ|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|NONE
MARTA VENIER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY O'NEILL SCHOOL OF PUBLIC AND ENVIRONMENTAL AFFAIRS
MARTHA FARELLA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF ARIZONA
MARTIN CASTILLO QUINTANA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NEW YORK UNIVERSITY
MARVIN KALB|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
MARY  WILLETT|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
MARY E. CORCORAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
MARY JO BANE|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
MARYLIS FANTONI|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
MARYLIS FANTONI|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
MARYROSE MAZZOLA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
MARYSUE BARRETT|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MATHIAS RISSE|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|PRINCETON
MATT NIKSCH|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MATT ROARTY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
MATTHEW ANDREWS|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MAXWELL SCHOOL, SYRACUSE UNIVERSITY
MATTHEW BAGGETTA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
MATTHEW BAUM|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UC SAN DIEGO
MATTHEW BUNN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
